PLAYER_ID,FG_K_1,FG_K_2,FG_K_3,FG_K_4,FG_K_5,FG_K_6,FG_K_7,FG_K_8,FG_K_9,FG_K_10,FG_K_11,FG_K_12
200797,0.5,0.235294118,0.666666667,1,0, , , , , , , 
200811,0.333333333,0, , , , , , , , , , 
200826,0.45959596,0.493150685,0.692307692,0.571428571,0.666666667,0.666666667,1,0, , , , 
200839,0.454545455,0.428571429,0, , , , , , , , , 
201141,0.473684211,0.125,0, , , , , , , , , 
201142,0.621004566,0.719869707,0.714285714,0.779069767,0.622641509,0.826086957,0.75,0.285714286,0, , , 
201143,0.7,0.578313253,0.513513514,0.533333333,0.571428571,1,1,1,0, , , 
201144,0.598837209,0.592105263,0.529411765,0.5,0.545454545,0.75,0.5,0, , , , 
201145,0.483240223,0.454545455,0.395833333,0.466666667,0.6,0.5,0, , , , , 
201147,0.545454545,0.5,0.466666667,0.466666667,0.166666667,0, , , , , , 
201148,0.746835443,0.682926829,0.434782609,0.666666667,0.555555556,1,1,1,1,0, , 
201149,0.597122302,0.551181102,0.58490566,0.608695652,0.545454545,0.75,0.5,0, , , , 
201150,0.518151815,0.537815126,0.509803922,0.684210526,0.6,0.6,1,1,0, , , 
201152,0.569739953,0.461538462,0.373134328,0.4,0.5,0.5,0, , , , , 
201155,0.552816901,0.58974359,0.568627451,0.523809524,0.375,0, , , , , , 
201156,0.527972028,0.423728814,0.425,0.466666667,1,1,0.5,0, , , , 
201158,0.56,0.514018692,0.523809524,0.529411765,0.5,1,1,1,0, , , 
201160,0.45631068,0.527777778,0.615384615,0.285714286,1,0, , , , , , 
201162,0.414473684,0.384615385,0.642857143,0.5,0, , , , , , , 
201163,0.472103004,0.512195122,0.451612903,0.25,0.5,0, , , , , , 
201166,0.438888889,0.467741935,0.52173913,0.75,0.4,1,0, , , , , 
201167,0.514044944,0.566176471,0.508474576,0.545454545,0.4,0.666666667,1,0, , , , 
201168,0.592307692,0.49122807,0.380952381,0.142857143,0, , , , , , , 
201171,0.52173913,0.444444444,0.333333333,0, , , , , , , , 
201175,0.502463054,0.493670886,0.571428571,0.384615385,0.5,1,0, , , , , 
201177,0.437837838,0.40625,0.473684211,0.285714286,0, , , , , , , 
201188,0.591269841,0.623853211,0.549019608,0.55,0.375,0, , , , , , 
201189,0.25,0, , , , , , , , , , 
201196,0.528455285,0.484848485,0.459459459,0.5,0.2,0, , , , , , 
201202,0.090909091,0, , , , , , , , , , 
201228,0.550458716,0.510638298,0.611111111,0.714285714,0.25,0, , , , , , 
201229,0.489795918,0.514285714,0.384615385,0, , , , , , , , 
201563,0.538461538,0.480769231,0.368421053,0.166666667,0, , , , , , , 
201564,0.52173913,0.439393939,0.523809524,0.333333333,0.5,0, , , , , , 
201565,0.421052632,0.230769231,0, , , , , , , , , 
201566,0.451851852,0.484536082,0.611111111,0.733333333,0.444444444,0.666666667,1,0, , , , 
201567,0.567567568,0.603960396,0.542553191,0.621621622,0.529411765,0.428571429,0.5,0, , , , 
201569,0.561068702,0.527777778,0.428571429,0.1875,0.5,0, , , , , , 
201571,0.488789238,0.457831325,0.387096774,0.5,0.75,1,1,0, , , , 
201572,0.59047619,0.791666667,0.827586207,0.75,1,0.875,0.8,1,0, , , 
201573,0.5,0.479452055,0.538461538,0.5,0.25,0, , , , , , 
201574,0.568306011,0.573333333,0.466666667,0.076923077,0, , , , , , , 
201575,0.28,0.4,0, , , , , , , , , 
201576,0.392156863,0.3125,0.25,0, , , , , , , , 
201577,0.673151751,0.611111111,0.535714286,0.375,0.428571429,0.5,0, , , , , 
201578,0.483221477,0.473684211,0.631578947,0.4,0.666666667,1,0, , , , , 
201579,0.536,0.574257426,0.581395349,0.625,0.111111111,0, , , , , , 
201580,0.4,1,0.666666667,1,0, , , , , , , 
201581,0.696202532,0.595041322,0.49122807,0.619047619,0.6,0.75,0.5,0, , , , 
201582,0.680412371,0.586956522,0.304347826,0.5,1,1,0, , , , , 
201583,0.5,0.428571429,0.266666667,0.333333333,0, , , , , , , 
201584,0.574660633,0.574468085,0.538461538,0.4,0, , , , , , , 
201585,0.570588235,0.555555556,0.517241379,0.363636364,0, , , , , , , 
201586,0.664041995,0.582474227,0.65060241,0.6,0.5,0.666666667,1,1,1,1,1,0
201587,0.545774648,0.512820513,0.511627907,0.294117647,0, , , , , , , 
201588,0.52020202,0.423076923,0.307692308,0.142857143,0, , , , , , , 
201589,0.448818898,0.5,0.5,0.714285714,1,0.5,0, , , , , 
201593,0.643109541,0.713178295,0.565217391,0.592592593,0.285714286,0.666666667,1,0, , , , 
201596,0.518324607,0.513888889,0.357142857,0.111111111,0, , , , , , , 
201599,0.763779528,0.732394366,0.65,0.736842105,0.777777778,0.363636364,0.333333333,0, , , , 
201600,0.493333333,0.407407407,0.1,0, , , , , , , , 
201601,0.53968254,0.392857143,0.714285714,0.25,0, , , , , , , 
201604,0.392857143,0.423076923,0.571428571,0, , , , , , , , 
201609,0.596199525,0.621761658,0.681318681,0.717391304,0.739130435,0.538461538,0.6,0.5,0, , , 
201627,0.527777778,0.493333333,0.62962963,0.5,1,0.333333333,0, , , , , 
201785,0.5,0, , , , , , , , , , 
201858,0.458823529,0.419354839,0.555555556,0.25,0, , , , , , , 
201880,0.421052632,0.611111111,0.625,0.666666667,0, , , , , , , 
201933,0.629422719,0.618677043,0.65,0.696428571,0.548387097,0.692307692,0.833333333,0.666666667,0, , , 
